environment,media_s1,absente,comportament,trece
urban,5.81,6.0,0.43,1
rural,2.22,3.0,0.16,0
urban,6.18,4.0,0.0,1
urban,8.83,4.0,0.26,1
urban,8.08,4.0,0.76,1
rural,7.86,4.0,0.66,1
urban,6.44,6.0,0.1,1
urban,4.44,4.0,0.44,0
urban,8.03,7.0,0.14,1
rural,5.33,4.0,,1
urban,10.0,3.0,0.11,1
urban,8.14,2.0,0.68,1
urban,5.84,4.0,0.58,1
urban,5.78,3.0,,1
rural,,1.0,0.99,0
urban,6.52,4.0,0.59,1
rural,9.23,5.0,0.27,1
rural,7.37,5.0,0.36,1
rural,5.54,4.0,0.92,1
urban,10.0,3.0,0.2,1
rural,7.1,3.0,0.2,1
urban,8.54,6.0,0.57,1
rural,5.78,1.0,0.33,1
rural,7.73,5.0,0.3,1
rural,7.62,4.0,0.41,1
rural,3.22,6.0,0.83,0
rural,10.0,6.0,0.84,1
rural,9.58,8.0,0.67,1
rural,6.21,4.0,0.58,1
rural,4.8,1.0,0.02,0
urban,7.7,7.0,0.57,1
urban,7.17,9.0,0.95,1
rural,7.71,2.0,0.84,1
rural,7.38,5.0,0.14,1
rural,8.01,6.0,0.97,1
urban,9.89,2.0,0.22,1
rural,8.14,10.0,0.12,1
urban,4.9,5.0,0.29,1
urban,9.73,,0.14,0
urban,10.0,5.0,,1
urban,10.0,7.0,0.31,1
urban,4.75,5.0,0.59,1
rural,7.49,5.0,0.61,1
rural,2.84,3.0,0.53,0
rural,8.11,7.0,0.3,1
rural,5.9,2.0,0.95,1
rural,10.0,,0.3,0
urban,5.45,6.0,0.4,1
rural,3.62,5.0,0.42,1
rural,6.06,6.0,0.02,1
urban,3.05,4.0,0.43,0
rural,,4.0,0.34,0
urban,2.87,5.0,0.07,0
rural,7.06,5.0,0.81,1
urban,2.84,1.0,0.71,0
rural,6.36,7.0,0.28,1
rural,10.0,9.0,0.26,1
urban,7.72,6.0,0.9,1
urban,5.27,6.0,0.19,1
urban,6.94,3.0,0.87,1
urban,7.04,6.0,,1
urban,7.95,8.0,0.84,1
urban,4.27,8.0,,0
urban,8.19,8.0,0.78,1
urban,1.59,6.0,0.09,0
rural,5.74,4.0,0.42,1
rural,6.02,3.0,0.45,1
urban,8.27,5.0,0.52,1
rural,7.05,5.0,0.63,1
rural,4.19,3.0,0.39,0
rural,5.03,4.0,0.45,1
rural,7.4,6.0,0.37,1
urban,6.84,4.0,0.7,1
rural,5.84,6.0,0.91,1
urban,6.04,3.0,0.11,1
rural,8.39,3.0,0.29,1
rural,5.96,4.0,0.22,1
rural,6.82,5.0,0.94,1
urban,10.0,3.0,0.59,1
rural,4.15,9.0,0.14,0
urban,3.3,3.0,0.4,1
rural,8.57,4.0,,1
urban,5.64,5.0,0.62,1
rural,6.36,1.0,0.22,1
urban,5.44,2.0,0.5,1
urban,,,0.8,0
rural,10.0,6.0,0.66,1
urban,8.6,3.0,0.1,1
rural,8.72,5.0,0.91,1
rural,,5.0,0.34,0
rural,4.7,6.0,0.42,1
rural,1.32,1.0,0.69,0
rural,5.38,6.0,0.46,1
rural,8.91,5.0,0.59,1
rural,8.03,7.0,0.48,1
rural,6.56,2.0,0.31,1
rural,6.96,,0.44,0
rural,5.62,3.0,0.31,1
rural,7.41,2.0,0.45,1
urban,8.53,4.0,0.2,1
urban,3.77,3.0,0.06,0
rural,7.6,5.0,0.7,1
rural,8.86,5.0,0.13,1
rural,6.17,5.0,0.82,1
rural,8.4,7.0,0.36,1
rural,10.0,4.0,0.25,1
rural,6.79,4.0,0.41,1
rural,7.79,3.0,0.15,1
rural,5.52,6.0,,1
urban,7.36,4.0,0.17,1
rural,,5.0,0.49,0
urban,7.39,5.0,0.16,1
rural,4.96,7.0,,1
rural,7.41,3.0,,1
urban,9.92,7.0,0.56,1
rural,7.9,3.0,0.08,1
urban,8.92,6.0,0.89,1
rural,6.53,6.0,0.39,1
rural,8.5,3.0,0.43,1
urban,7.56,5.0,0.49,1
rural,5.1,4.0,0.22,1
urban,,7.0,,0
rural,5.02,6.0,0.25,1
urban,5.73,4.0,0.84,1
urban,7.38,3.0,0.83,1
rural,7.59,4.0,0.48,1
rural,4.62,3.0,0.53,1
urban,,10.0,0.99,0
rural,8.14,4.0,0.8,1
rural,5.59,1.0,0.06,1
rural,3.92,3.0,0.17,0
urban,6.71,4.0,0.6,1
urban,6.11,,0.37,0
urban,7.23,4.0,0.8,1
urban,6.27,5.0,0.64,1
urban,2.99,5.0,0.99,0
urban,6.22,7.0,0.01,1
urban,6.39,5.0,0.44,1
urban,8.27,11.0,,1
urban,,4.0,0.43,0
rural,10.0,3.0,0.89,1
urban,3.18,4.0,0.41,0
rural,9.62,0.0,,1
rural,6.55,6.0,,1
rural,8.72,7.0,0.49,1
urban,7.16,1.0,0.69,1
urban,9.28,5.0,0.23,1
urban,6.23,6.0,0.14,1
urban,4.8,4.0,0.97,1
rural,9.84,3.0,0.39,1
urban,6.77,3.0,0.3,1
urban,7.44,3.0,0.27,1
urban,9.47,4.0,0.62,1
urban,4.94,6.0,1.0,0
urban,8.19,3.0,0.89,1
rural,5.82,4.0,0.4,1
urban,6.74,6.0,0.9,1
rural,7.14,5.0,0.46,1
urban,4.0,7.0,0.11,0
rural,5.44,5.0,0.19,1
urban,9.7,1.0,0.24,1
urban,8.77,8.0,0.92,1
rural,6.87,6.0,0.98,1
rural,7.49,4.0,0.23,1
rural,6.41,10.0,0.4,1
urban,9.71,3.0,0.98,1
rural,6.6,5.0,0.85,1
urban,7.46,,,0
urban,9.29,5.0,0.45,1
rural,5.45,7.0,0.88,1
rural,10.0,6.0,0.03,1
urban,3.94,3.0,0.93,0
urban,10.0,8.0,0.09,1
rural,6.25,6.0,0.9,1
rural,6.51,7.0,0.06,1
rural,3.22,6.0,0.97,0
urban,,4.0,0.01,0
urban,4.92,6.0,0.96,0
urban,5.78,6.0,0.06,1
urban,6.73,4.0,0.13,1
urban,8.92,,0.96,0
urban,7.42,6.0,0.79,1
rural,7.62,2.0,0.84,1
urban,4.81,7.0,0.43,0
urban,5.24,6.0,0.08,1
urban,,2.0,0.15,0
rural,5.53,6.0,0.92,1
urban,10.0,3.0,0.38,1
urban,6.51,5.0,0.76,1
rural,7.0,6.0,0.69,1
urban,9.14,3.0,0.47,1
urban,9.54,6.0,,1
urban,6.78,7.0,0.65,1
urban,6.22,4.0,0.74,1
urban,6.89,3.0,0.84,1
rural,7.68,9.0,0.22,1
rural,8.78,7.0,0.29,1
rural,7.01,6.0,0.76,1
urban,8.24,11.0,0.83,1
urban,10.0,,0.6,0
urban,7.76,7.0,0.99,1
rural,7.62,7.0,0.88,1
urban,3.96,4.0,0.8,0
urban,1.74,4.0,0.25,0
rural,7.78,2.0,,1
urban,6.81,,0.36,0
rural,5.97,5.0,0.09,1
rural,7.49,6.0,0.73,1
rural,6.88,9.0,0.41,1
urban,9.26,6.0,0.62,1
urban,7.17,6.0,0.71,1
urban,5.51,7.0,0.01,1
urban,8.98,6.0,0.05,1
urban,6.57,8.0,0.34,1
urban,,,0.66,0
urban,6.05,5.0,0.48,1
rural,5.7,,0.94,0
urban,7.17,3.0,0.26,1
rural,7.03,6.0,,1
urban,7.96,6.0,0.11,1
urban,6.46,7.0,0.23,1
urban,3.33,,0.24,0
rural,6.13,10.0,0.38,1
rural,8.59,4.0,0.56,1
rural,6.41,5.0,0.25,1
rural,6.51,1.0,0.52,1
urban,8.97,4.0,0.48,1
rural,5.58,4.0,0.31,1
urban,3.91,6.0,0.43,0
urban,6.68,2.0,0.38,1
rural,6.03,5.0,0.95,1
rural,5.07,5.0,,1
rural,6.65,5.0,0.77,1
rural,7.98,7.0,0.31,1
rural,6.98,7.0,0.19,1
rural,7.61,6.0,0.87,1
rural,10.0,4.0,0.47,1
rural,6.31,5.0,0.51,1
urban,7.56,2.0,0.42,1
rural,5.98,4.0,0.4,1
rural,5.31,9.0,0.69,1
urban,5.83,6.0,0.76,1
rural,6.04,4.0,0.79,1
urban,7.72,8.0,0.53,1
urban,10.0,5.0,0.7,1
rural,5.57,8.0,0.78,1
urban,6.17,3.0,0.68,1
urban,,3.0,0.19,0
urban,7.79,,0.71,0
urban,7.53,5.0,0.65,1
rural,9.57,8.0,0.1,1
urban,2.15,9.0,0.65,0
rural,2.23,7.0,0.88,0
urban,6.01,4.0,0.41,1
urban,9.19,6.0,0.13,1
urban,,7.0,0.61,0
urban,0.98,2.0,0.24,0
rural,8.14,3.0,0.55,1
rural,7.49,2.0,0.67,1
urban,4.82,4.0,0.51,1
urban,5.03,5.0,0.31,1
rural,5.06,6.0,0.86,1
urban,7.22,4.0,0.14,1
urban,5.75,0.0,0.04,1
urban,7.99,6.0,0.83,1
rural,1.29,4.0,0.03,0
rural,5.29,3.0,0.49,1
rural,4.75,5.0,0.54,1
urban,6.49,6.0,0.34,1
urban,5.92,4.0,0.28,1
rural,8.6,5.0,0.74,1
rural,,4.0,0.37,0
rural,7.09,4.0,0.12,1
rural,8.12,4.0,0.46,1
urban,10.0,1.0,0.73,1
rural,6.04,6.0,0.31,1
urban,7.65,5.0,0.13,1
rural,3.39,4.0,0.34,0
urban,2.22,6.0,0.55,0
rural,8.69,5.0,0.1,1
rural,6.99,1.0,0.23,1
rural,9.36,3.0,0.97,1
rural,4.25,6.0,0.2,1
urban,8.04,5.0,0.06,1
rural,10.0,,0.43,0
urban,7.84,6.0,0.07,1
urban,7.55,6.0,0.01,1
urban,7.02,4.0,0.02,1
urban,3.86,5.0,0.3,1
rural,9.71,2.0,0.07,1
urban,5.78,9.0,0.19,1
urban,8.01,4.0,,1
urban,3.87,2.0,0.29,1
rural,4.64,1.0,0.58,0
rural,9.87,5.0,0.41,1
rural,6.31,2.0,0.88,1
rural,9.91,8.0,0.7,1
urban,6.84,,0.85,0
urban,3.32,4.0,0.52,1
rural,8.78,3.0,0.78,1
urban,5.82,8.0,0.62,1
urban,8.4,0.0,0.74,1
urban,7.05,4.0,0.68,1
rural,3.91,2.0,0.3,0
rural,7.33,7.0,0.13,1
urban,,2.0,0.81,0
rural,7.99,4.0,,1
rural,6.88,5.0,0.61,1
rural,9.15,7.0,0.99,1
rural,7.42,1.0,0.18,1
rural,7.42,5.0,0.74,1
urban,4.82,6.0,0.95,0
rural,7.47,2.0,0.5,1
urban,9.07,3.0,0.57,1
urban,,1.0,0.37,0
rural,9.85,7.0,0.44,1
urban,6.82,,0.63,0
urban,5.22,6.0,0.87,1
urban,9.0,4.0,0.95,1
rural,6.43,4.0,,1
rural,8.52,9.0,0.78,1
urban,6.42,11.0,0.74,1
rural,6.88,8.0,0.25,1
rural,7.99,7.0,0.46,1
rural,7.58,,0.68,0
rural,3.01,5.0,0.13,0
urban,4.76,8.0,0.88,1
urban,8.86,6.0,0.4,1
rural,6.74,5.0,0.45,1
rural,5.95,6.0,0.87,1
urban,4.28,4.0,0.17,1
urban,4.84,5.0,0.04,1
rural,2.96,4.0,0.29,0
urban,,3.0,0.15,0
rural,5.8,5.0,0.99,1
rural,5.07,7.0,0.57,1
urban,,6.0,0.56,0
urban,7.73,8.0,0.79,1
rural,10.0,6.0,0.26,1
rural,3.98,6.0,0.52,0
urban,9.32,4.0,0.14,1
rural,8.95,3.0,0.09,1
urban,5.44,5.0,0.44,1
rural,7.41,8.0,0.91,1
urban,6.08,6.0,0.44,1
urban,7.37,5.0,0.45,1
urban,10.0,6.0,0.87,1
rural,8.21,9.0,0.29,1
rural,8.02,9.0,0.49,1
urban,6.14,6.0,0.16,1
rural,4.03,4.0,0.85,0
urban,6.58,5.0,,1
urban,9.41,4.0,0.41,1
rural,3.95,3.0,0.28,0
rural,4.89,10.0,0.26,1
urban,7.25,3.0,0.24,1
rural,5.03,7.0,0.37,1
rural,5.41,9.0,0.9,1
urban,6.15,2.0,0.71,1
urban,4.27,7.0,0.89,0
rural,5.05,3.0,0.2,1
urban,8.41,8.0,0.85,1
urban,4.39,8.0,0.43,1
rural,3.8,4.0,0.98,0
urban,5.74,6.0,0.59,1
urban,8.46,4.0,0.49,1
rural,6.61,4.0,0.93,1
rural,6.07,5.0,0.38,1
urban,7.09,5.0,0.75,1
urban,3.51,7.0,0.47,1
rural,7.99,3.0,0.73,1
rural,7.77,3.0,0.28,1
rural,6.18,2.0,0.41,1
rural,9.01,,0.35,0
urban,4.75,3.0,0.87,0
rural,9.26,4.0,0.93,1
rural,7.31,3.0,0.74,1
urban,6.33,6.0,0.82,1
rural,6.96,6.0,0.35,1
urban,6.79,7.0,0.15,1
rural,9.44,8.0,0.69,1
rural,4.85,4.0,0.64,0
rural,5.47,4.0,0.26,1
urban,9.07,5.0,0.91,1
urban,5.81,6.0,0.36,1
rural,8.8,7.0,0.82,1
urban,10.0,10.0,0.13,1
urban,6.2,3.0,0.29,1
urban,8.36,3.0,0.61,1
urban,4.69,4.0,0.24,1
urban,8.51,2.0,0.96,1
urban,7.4,1.0,0.55,1
rural,,,0.73,0
rural,5.71,6.0,0.56,1
urban,3.68,4.0,,1
rural,8.01,6.0,0.82,1
rural,2.87,5.0,0.02,0
rural,6.37,3.0,0.43,1
rural,8.88,5.0,0.88,1
urban,7.38,10.0,0.09,1
rural,10.0,2.0,0.21,1
rural,9.05,8.0,0.96,1
urban,5.69,4.0,0.96,1
urban,7.05,6.0,0.38,1
rural,6.91,2.0,0.75,1
rural,3.84,4.0,0.63,0
rural,5.12,7.0,0.49,1
rural,5.88,6.0,0.81,1
rural,2.93,3.0,0.65,0
rural,7.09,4.0,0.09,1
urban,6.5,4.0,0.84,1
rural,3.65,7.0,0.27,0
rural,7.81,5.0,0.63,1
urban,8.43,7.0,0.78,1
urban,7.45,4.0,0.9,1
urban,6.35,3.0,0.93,1
urban,8.18,3.0,0.93,1
rural,8.36,3.0,0.66,1
rural,7.61,3.0,0.62,1
rural,5.35,4.0,0.01,1
rural,7.55,6.0,0.08,1
rural,9.39,4.0,0.39,1
rural,5.81,11.0,0.79,1
urban,10.0,3.0,0.59,1
rural,5.95,6.0,0.24,1
urban,7.06,1.0,0.12,1
urban,5.66,10.0,0.47,1
rural,7.45,4.0,0.91,1
urban,3.52,5.0,0.05,0
rural,5.91,3.0,0.46,1
urban,4.82,6.0,0.06,0
rural,7.27,11.0,0.25,1
urban,8.99,6.0,0.95,1
rural,8.29,3.0,0.1,1
rural,2.26,2.0,0.05,0
rural,10.0,5.0,0.09,1
rural,7.59,7.0,0.69,1
rural,5.45,3.0,0.01,1
urban,7.31,1.0,0.39,1
urban,7.35,9.0,0.95,1
urban,,6.0,0.07,0
rural,7.4,6.0,0.93,1
urban,5.79,3.0,0.12,1
rural,,4.0,0.13,0
rural,5.63,6.0,0.6,1
urban,4.13,2.0,,0
urban,7.29,7.0,0.0,1
rural,,8.0,0.75,0
urban,8.03,5.0,0.37,1
rural,8.64,6.0,0.91,1
rural,7.65,3.0,0.28,1
rural,5.93,6.0,0.67,1
rural,8.68,6.0,0.33,1
rural,4.28,5.0,0.15,0
urban,5.2,8.0,0.97,1
urban,5.07,7.0,0.59,1
rural,,5.0,0.84,0
rural,8.89,2.0,0.25,1
urban,7.97,2.0,0.39,1
urban,9.14,9.0,0.48,1
rural,5.24,4.0,,1
urban,7.7,5.0,0.39,1
rural,6.75,11.0,0.25,1
urban,8.69,3.0,0.19,1
rural,6.77,3.0,0.6,1
urban,6.23,4.0,0.25,1
rural,8.08,3.0,0.4,1
urban,8.75,6.0,0.03,1
urban,5.66,7.0,0.26,1
rural,6.88,2.0,0.48,1
urban,4.88,4.0,0.8,1
rural,2.0,3.0,0.37,0
urban,7.4,5.0,0.3,1
rural,8.22,7.0,0.52,1
urban,7.52,5.0,0.05,1
rural,3.1,4.0,0.35,0
urban,6.3,5.0,0.14,1
rural,2.56,7.0,0.25,0
urban,9.74,6.0,0.39,1
rural,4.83,3.0,0.06,1
rural,9.51,6.0,0.8,1
rural,8.89,5.0,0.27,1
urban,5.2,4.0,0.23,1
rural,4.73,2.0,0.34,0
urban,7.7,5.0,0.37,1
rural,5.31,5.0,0.81,1
urban,7.2,5.0,0.28,1
rural,6.03,3.0,0.46,1
urban,3.44,,0.5,0
urban,2.54,5.0,0.31,0
rural,7.45,5.0,0.78,1
urban,5.88,6.0,,1
urban,5.89,5.0,,1
rural,8.39,6.0,0.05,1
urban,9.35,2.0,0.82,1
urban,6.45,12.0,0.24,1
urban,6.32,,0.09,0
rural,8.0,4.0,0.66,1
urban,4.29,5.0,0.22,1
rural,7.45,7.0,0.41,1
urban,8.1,1.0,0.71,1
urban,,5.0,0.1,0
